code,name,category,lag_vs_chip,corr_vs_chip,lag_vs_mod,corr_vs_mod,return_60d,drawdown_60d,peak_date_60d,holder_num,holder_change,holder_ann_date,current_price
300308,中际旭创,CPO/NPO/OCS,120,0.802166906710756,0,1.0,2.083374234115676,-0.05231746175036499,2026-06-22,154418.0,0.100078364322861,20260417,8289.1919
300502,新易盛,CPO/LPO,-16,0.8494767427656643,0,0.9824489085409802,1.6239891909197908,-0.05069822223307791,2026-06-18,139475.0,-0.10299120838130028,20260424,8927.4421
300394,天孚通信,FAU/CPO,120,0.8362869360562626,0,0.97636534889045,1.3681160326419075,-0.12218984491225726,2026-06-03,146144.0,-0.033950290851401374,20260514,3873.0845
301205,联特科技,CPO,120,0.8114745907610389,0,0.9293931994692383,1.4983006502351641,-0.10395551484833965,2026-06-18,34582.0,-0.03625672323941699,20260429,582.9738
300570,太辰光,MPO/FAU,0,0.9145394629039535,-120,0.7218027798867295,2.1957083796962213,-0.05925038337799368,2026-06-22,83044.0,0.40640506714989755,20260424,485.4316
301486,致尚科技,MPO,92,0.8724427491696783,0,0.8970037241320237,1.545564870879263,-0.18539213212680786,2026-05-25,30724.0,0.7661531386525638,20260605,238.9196
603083,剑桥科技,LPO,0,0.902801268207593,0,0.9613184397920677,2.16641545933487,0.0,2026-06-23,127844.0,0.525348096357367,20260428,526.3523
688498,源杰科技,EML芯片/CW光源,120,0.843420404641036,0,0.9755421218862839,2.308347061641668,-0.029463567475442654,2026-06-22,13571.0,0.020452665613955937,20260428,3690.7838
688048,长光华芯,CW光源,-11,0.8508018374164122,78,0.8931645500464745,1.747142505234635,-0.12464979944461581,2026-05-14,28373.0,-0.03509607209658221,20260418,510.6618
688313,仕佳光子,CW光源,0,0.9217896568369303,-84,0.9195196584315738,2.3343196918744695,0.0,2026-06-23,46818.0,-0.2818333819085457,20260418,200.6091
688008,澜起科技,DSP/RCD,0,0.8953239335520855,0,0.9248259240342058,1.8072299609247577,-0.09006643113492059,2026-05-25,124181.0,0.1695989601974118,20260428,260.3875
688515,裕太微,DSP/PHY,-1,0.8925631558982812,114,0.7625836588258512,2.2797256493506493,-0.03291592880284088,2026-06-22,8732.0,0.0006876002750401101,20260428,280.8622
688662,富信科技,TEC,-9,0.898419010320033,0,0.799864784203323,3.741521459192489,0.0,2026-06-23,9221.0,-0.10310281101060208,20260427,229.5386
002463,沪电股份,PCB,-27,0.8262992290185893,0,0.9769721659153718,1.6680405921087662,-0.06355656705107599,2026-06-18,240937.0,0.21109167496054126,20260423,375.9163
300476,胜宏科技,PCB/OEPCB,0,0.9055257708375736,-84,0.9300524463965233,1.2746710548114963,-0.13816552802579948,2026-05-26,,0.0,20260605,1538.7727
603228,景旺电子,PCB/OEPCB,-16,0.8664051791520581,-18,0.9015578651364536,1.2447519367067743,-0.15880524861878456,2026-05-26,107025.0,0.7661473976038813,20260423,151.0382
600183,生益科技,CCL,0,0.8956720240168412,0,0.9377019660771809,2.7545265676557045,-0.09013547328398504,2026-06-22,171634.0,0.44721575769840466,20260429,1284.747
688519,南亚新材,CCL,120,0.897943622278489,-75,0.9421126372110727,2.1869629493955727,-0.16120921209834305,2026-06-18,12809.0,0.09713062098501071,20260428,334.3254
603186,华正新材,CCL,120,0.8151838448790237,-6,0.9253881679408487,3.6274569433669512,-0.0705887076672686,2026-06-22,24082.0,-0.07971568327728523,20260423,233.7896
688020,方邦股份,RCC,-8,0.8201497223171581,0,0.9550947135415642,2.7404041719447374,-0.0953111803400294,2026-06-22,6312.0,0.04937655860349127,20260420,231.4792
301511,德福科技,铜箔/HVLP,-22,0.8581813161016982,-20,0.937859789825349,3.7214176034577546,-0.17420284368164224,2026-06-16,56714.0,-0.05254013598623432,20260603,196.3085
301217,铜冠铜箔,铜箔/HVLP,-18,0.8552511673567665,-18,0.9623823015946149,4.54379419525066,-0.14095000932829302,2026-06-18,81793.0,-0.11755440235626666,20260526,172.2098
300408,三环集团,MLCC,-22,0.7828189660145363,12,0.8472576700519747,2.550816025013314,-0.0784722160804808,2026-06-18,38909.0,0.06670139269656761,20260424,593.9218
000636,风华高科,MLCC,-22,0.6283060523441639,108,0.8029451053986629,3.310403695988642,-0.05884721427955809,2026-06-18,217208.0,0.5925040690939484,20260604,1137.8652
688256,寒武纪,GPU/NPU,0,1.0,-120,0.8021669067107561,2.0279876804619827,-0.06266171202429033,2026-06-18,68582.0,0.29845885872240524,20260430,2107.0792
688041,海光信息,CPU/GPU,0,0.9725625286327312,11,0.8284456834029035,1.458197778787837,-0.09150598256859993,2026-05-12,104580.0,-0.03677709927882623,20260408,317.6086
300474,景嘉微,GPU,110,-0.8156346403029768,120,-0.6951335451933888,0.9010421501430191,-0.19860749771996353,2026-05-12,94967.0,0.0038052152589131884,20260605,166.9541
688766,普冉股份,NAND,17,0.8022335173929651,42,0.926143474503453,2.7442141963339033,0.0,2026-06-23,18575.0,0.02965631929046563,20260429,2872.8904
603986,兆易创新,DRAM/NAND,12,0.8910253269101718,0,0.9090218740802756,2.29560588920539,-0.07062490885217214,2026-06-22,243737.0,0.3972781004030108,20260430,3545.1432
300223,北京君正,DRAM,0,0.8544613929432459,79,0.9158613165925499,1.6916095789542984,0.0,2026-06-23,110676.0,-0.011044392022303237,20260603,488.1833
301308,江波龙,DRAM/NAND,22,0.7852215557054459,27,0.9626231797833034,1.7645905751128688,-0.03270246776468016,2026-06-22,80056.0,-0.1073049431862532,20260428,598.0021
603256,宏和科技,电子布,120,0.89452165902286,-20,0.958676106784748,3.7190386371461504,-0.057450144757853615,2026-06-22,58368.0,-0.041466178378467146,20260410,248.4355
605589,圣泉集团,树脂,-18,0.8849131009007181,-120,0.7965610383890581,2.1303284026421063,-0.09997327303170278,2026-06-22,44829.0,0.10924432127480577,20260425,68.6967
600487,亨通光电,光纤/光棒,120,0.7804907852853311,106,0.9106139201713052,2.402611142200526,-0.02347459329904804,2026-06-22,159602.0,-0.2821230181041268,20260425,1086.2229
600522,中天科技,光纤/光棒,120,0.7733713713011002,106,0.8929344052964042,2.1826016614293273,0.0,2026-06-23,211851.0,-0.06352195419523386,20260425,491.057
688143,长盈通,保偏光纤,-25,0.8754295058913666,-88,0.8865744174136183,3.9068706594237774,0.0,2026-06-16,9542.0,-0.3540481992959653,20260429,284.0881
688126,沪硅产业,硅片,0,0.7660710770170155,9,0.6169457396646307,1.812556179775281,-0.049558413706555685,2026-06-22,80247.0,-0.0013937455667691237,20260417,32.2635
605358,立昂微,硅片,0,0.7871117637333437,16,0.8983180466204022,1.951225423132549,-0.09432716690948428,2026-06-10,88952.0,-0.04182689718317445,20260428,99.8364
603773,沃格光电,TGV/玻璃基板,-20,0.832521997565861,0,0.8359230472326442,4.646042926685352,0.0,2026-06-23,23660.0,-0.18958725809213905,20260423,377.9463
300776,帝尔激光,TGV设备,-10,0.756174256442823,115,0.7842770636093186,2.178401408206772,-0.06565851177353493,2026-06-22,25181.0,-0.038158899923605806,20260428,691.7884
002436,兴森科技,ABF载板,-1,0.9016512257649862,0,0.9357051435895533,2.2626961459115855,-0.09005635969606986,2026-06-22,108937.0,-0.2605918685943121,20260425,593.3717
002916,深南电路,ABF载板/基板,0,0.866014531391464,0,0.9656830110833582,1.7847634355578812,-0.068526712612823,2026-06-22,67900.0,0.6378811269780008,20260424,948.2698
301128,强瑞技术,探针,-5,0.9099461065965778,0,0.9054144243870895,1.5715486510572796,-0.16748144911371782,2026-06-18,17207.0,-0.10982928091050181,20260506,310.362
002428,云南锗业,磷化铟,-10,0.8582171035347266,88,0.8698512424368567,2.3037593777146017,0.0,2026-06-23,270432.0,0.3242643710243716,20260525,583.4501
300620,光库科技,薄膜铌酸锂,-1,0.8664010507831016,0,0.9694339625399696,2.0820672869406742,-0.02702426187241395,2026-06-17,62321.0,-0.22012964260686754,20260423,868.2637
600330,天通股份,薄膜铌酸锂,120,0.7997799806400512,0,0.9148541486775982,1.9222309383881382,-0.06932033273560467,2026-05-13,134633.0,0.156283280085197,20260428,149.4746
688234,天岳先进,碳化硅,0,0.8432653710828254,11,0.8856254288838734,2.1203683264887063,-0.02237218934911244,2026-05-14,21734.0,0.07690020810623328,20260429,165.2191
300179,四方达,金刚石,0,0.8124821955045475,85,0.8896900003695635,2.5877950195817627,-0.008524778224402306,2026-06-22,45701.0,0.03370201985931103,20260402,350.2063
688146,派瑞特气,六氟化钨,-29,0.7521839854299958,-31,0.8640106973770355,9.362378774454635,0.0,2026-06-22,22846.0,-0.051324640810563905,20260423,390.9823
688106,金宏气体,氦气/特气,120,0.7791485129544066,90,0.8803158418302667,1.2327923837918418,-0.13848139028317077,2026-04-28,23566.0,0.2013049905694041,20260430,36.3871
688268,华特气体,氦气/特气,120,0.7563251537172562,120,0.8232656017428747,2.683118830837304,0.0,2026-06-23,15236.0,-0.020444901633020447,20260415,252.2561
000960,锡业股份,锡,96,0.8350328711388183,14,0.9519388527781704,1.3303932962858065,-0.07536486081970728,2026-06-22,173730.0,0.15585746220992122,20260611,136.2203
600362,江西铜业,铜,29,0.804129239218136,25,0.9447621173342304,1.109344935254307,-0.10007315966163971,2026-06-22,246197.0,0.3961415666237574,20260429,69.9919
000878,云南铜业,铜,21,0.7797637520154174,22,0.8970234538353237,0.961932754230942,-0.12403082273517686,2026-05-13,233958.0,-0.007550755499749722,20260525,51.3826
000657,中钨高新,钨/微钻,103,0.872345868229072,0,0.9401895330412183,2.065793370129226,-0.05381709861328805,2026-06-22,114984.0,-0.22629613430676582,20260427,625.0471
603993,洛阳钼业,钼/铜,92,0.7997725187459126,0,0.9571098683531347,1.1009393470306783,-0.0997692829936827,2026-06-22,810811.0,1.299409841272542,20260402,62.5862
600549,厦门钨业,钨,100,0.8312419704635648,26,0.9420923206599001,1.4641234358781325,-0.09597882535850832,2026-06-22,96406.0,-0.4045594075611308,20260424,1026.8659
002167,东方锆业,锆,0,0.9193512719795254,-120,0.8366422687181634,1.5940921047137908,0.0,2026-06-23,116234.0,0.011302040283638579,20260421,152.7204
